,RegionID,SizeRank,Zip Code,RegionType,StateName,State,City,Metro,CountyName,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30
3,62093,4,11385,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,2200.6770137168764,2238.2964280188894,2270.718486185513,2317.569702811672,2333.6979004571235,2316.8470121828577,2371.2190637105814,2368.903591472181,2353.101409826807,2341.3003480192124,2334.2696153061725,2409.2916743814226,2395.4372379431857,2423.4980178835854,2415.061778083821,2429.386438843359,2440.7436740551934,2430.990212130519,2461.1898771069323,2473.884417782277,2434.5059721892067,2418.778916998085,2391.195186678244,2431.905518279052,2410.0559848635608,2405.2999214769857,2414.5867276749163,2433.093431738736,2465.938588907106,2472.4249629427877,2500.3475973986083,2485.571481020789,2466.884261021404,2458.1523318377094,2443.082868690199,2466.6336933306543,2419.427123946922,2431.8656429240164,2442.1230184575143,2472.920908543757,2481.514138301772,2472.879523229948,2507.512704245155,2528.8495195050427,2518.0819807975367,2504.559476402701,2507.043677695984,2549.779190843658,2527.3984907530858,2517.181182524363,2516.9872861352737,2550.3200779330937,2567.387706774062,2564.2501078094374,2581.7502089645354,2579.0585558014395,2594.623522726119,2595.644277330675,2589.111059949964,2602.4056741792097,2576.71617909934,2568.2851950837394,2582.3660512377896,2573.4293007414226,2561.731822710056,2495.252133827577,2483.742010640025,2460.3445996883315,2436.8777398507364,2431.0469770677514,2449.6969452234366,2449.6775525655576,2417.6462319229004,2391.7722461121857,2405.126796335785,2440.867844761306,2471.7921573117974,2489.8588823340347,2530.5651258191806,2585.977907104885,2628.862091062393,2661.72191578544,2675.244323285457,2713.079329727755,2733.1893072626985,2792.637192049366,2838.2594787933194,2939.885354706982,3005.1523598626136,3063.212369098602,3064.1329956387917,3071.1352893523863,3073.1085485485487
6,91733,7,77084,zip,TX,TX,Houston,"Houston-The Woodlands-Sugar Land, TX",Harris County,1216.2942485983594,1212.5689845105944,1214.4281702639182,1221.913377090649,1214.775398765566,1226.2874656245044,1238.4688135997142,1240.974407223709,1234.0931721147815,1238.65947465331,1257.8759284673945,1260.9185534507296,1245.5575680367358,1234.5884198555782,1233.8881563648504,1228.9921512647263,1223.1270404655183,1226.7158479305808,1232.9672250503725,1234.3255417790558,1227.4933510432638,1237.5119274942026,1252.2050384865634,1246.4809470709142,1235.3970410220086,1229.6189262457085,1239.8589423301562,1245.4680048427017,1241.397095922877,1241.7434160826767,1263.3462323233098,1282.807701360401,1296.390426613384,1291.3063062195577,1298.515274024386,1294.6597683707428,1281.9776004528153,1278.656016433081,1283.0900184534855,1294.5841652290817,1281.7118617997958,1286.3655940039337,1304.4184844508827,1310.4640240788956,1316.3631654981095,1308.6340810303782,1326.7385303754652,1313.6390422320444,1315.0765043615224,1311.6211604011496,1334.246481193867,1334.283697946963,1334.0827073097491,1325.9742314305104,1323.853952353394,1323.184912916926,1321.068578173863,1333.8173376534544,1345.8323672735455,1359.3729176940467,1356.007845973426,1351.6469561943827,1347.8953060346994,1351.424142438845,1347.832902131089,1348.7186336894824,1353.4204171746228,1355.1298473294112,1356.0023424478543,1365.30318684439,1383.9694634089392,1397.9810931629356,1398.7490444110815,1402.162532494883,1416.9749190884888,1447.0558242467212,1487.2906826887329,1533.678030376259,1573.2895265813358,1578.6250416068058,1580.350562745787,1604.727464160179,1630.9155423612174,1643.503930584964,1622.4699881160632,1624.4819005134666,1636.9116138946988,1663.6313784663655,1679.6945209708294,1661.0769160457698,1641.0426720554185,1634.4274846669855,1651.53544973545
11,61807,15,10467,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Bronx County,1309.2246784208976,1310.5229578314386,1330.451629034091,1355.9212497673404,1371.5727848740307,1394.6226242320397,1380.517517049966,1393.2936021354064,1389.789174468557,1402.6162421839583,1387.6930658266608,1375.4981679543398,1397.1638226237928,1421.246854240953,1446.356601759578,1457.0709408153025,1460.523469333136,1448.2890377400115,1445.2661739103896,1447.354601445493,1488.5729694132235,1492.716164137311,1516.0573469318188,1531.5559008384969,1555.5279705041928,1557.9819096031458,1549.713884922743,1572.4629159778162,1584.8976952120472,1561.182527441693,1529.4123920010566,1527.9466202101305,1579.5654758891587,1579.0151325372562,1582.3891537532709,1567.4023968552442,1607.0716249986067,1628.6330490792727,1637.088578436897,1640.158573385207,1631.6663734846486,1651.8056891940007,1678.2669729007173,1708.1895283551696,1735.5683307583067,1712.03118286463,1717.5703265947627,1702.8278727058582,1713.8821069950277,1708.3663995968302,1670.198718634133,1662.6077690946397,1663.8184219233094,1695.0328618829872,1738.9495861682367,1774.583120822323,1797.7273973363074,1760.863627348366,1763.2692972205552,1738.0770268312706,1744.1401542449578,1741.6470033147502,1763.9724480879738,1773.4181266459811,1785.333454776609,1785.288270383273,1823.323599290752,1849.1398461087824,1911.0626626728908,1873.8009463594813,1838.812813670922,1784.5920944026743,1818.401561741288,1824.0171557764384,1852.5148534448551,1853.4834890044333,1853.9370363750977,1869.5267009755537,1876.6324238460384,1869.2057083972716,1852.5950742278048,1823.6655917769256,1814.9308696747469,1868.7785313450088,1941.1260998953385,2002.7247594859691,1942.1522534909009,1874.587927433222,1919.8335595612168,1993.8273311996168,2050.818816616255,2012.0787211287056,1993.392857142857
12,62037,16,11226,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,1863.4510613453072,1920.5457829943869,1926.696942234116,1929.2211152257423,1904.1401123265516,1912.4657012129835,1922.750696281498,1965.9525753387773,1962.166464496874,1955.8463806812372,1943.4176211447104,1959.6162817955883,1980.4682745885264,2009.0170196101517,2022.4184638939917,2054.4163310161803,2062.5884872736096,2079.167064759362,2056.52158207852,2045.3723909613147,2037.935170074086,2054.4134609588905,2057.1978457101927,2055.683870783545,2072.5921485741133,2104.009590827927,2110.967897958956,2102.2512214138005,2097.607257680073,2105.588063389952,2111.55283393854,2093.889191219057,2056.264912081381,2052.813333101277,2052.4347776001105,2083.5621440112327,2103.045135187805,2156.5877472292004,2165.636798570456,2179.4266506938743,2159.743733390445,2177.645328497621,2176.1828185199806,2179.6110687603523,2154.2176706484147,2156.617084106085,2147.7687073857646,2150.6433335221136,2170.1218939845967,2194.2802204730106,2214.237151040193,2212.3393405443767,2208.2096876582746,2216.154278892457,2218.460459161258,2233.466190914333,2212.226063090485,2209.3320697899567,2208.4840370715765,2217.077485748181,2247.2489467713813,2252.454497620673,2254.3914450246675,2231.847875199688,2227.537965787563,2218.619583289017,2197.2252895078573,2173.827702510132,2152.595685616916,2121.6257892050794,2092.2484058446744,2091.454232501156,2101.903689978158,2132.5746846283123,2147.2059676895938,2172.239329455586,2196.6828202095203,2216.590328700069,2242.694951789885,2251.538502696289,2269.214462379836,2280.0899116401847,2309.409663904855,2347.2796384730464,2363.8122522256167,2409.678929351515,2436.350665934955,2491.1331597782982,2500.0577985278355,2503.3928355013263,2521.4472487469293,2541.3053897426225,2562.622294372294
15,96107,19,90250,zip,CA,CA,Hawthorne,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,1077.9532729269274,1076.366220319091,1059.9925015651654,1044.1497042380229,1062.201700951469,1085.9293051919258,1098.8673314192454,1107.6456115923318,1116.8998231645287,1124.0733138701369,1133.0659672273016,1156.4898565254964,1177.902305618521,1176.4301898348515,1164.1387748130655,1168.6300926937506,1184.9197907269513,1213.859908769983,1225.1600200756975,1225.3810235003375,1229.6841960665115,1244.463718772431,1280.9445177983214,1305.5788580770156,1314.114046063654,1312.0332111411344,1319.2383161413225,1328.0933099764266,1333.3188659128791,1339.1247201110775,1344.3446862180172,1329.5982139444416,1351.0992144507309,1362.8806481157196,1400.0489452895856,1396.7506532271957,1404.4861690256814,1400.9635707543682,1406.9499277779462,1414.690976671412,1429.9303199029416,1445.8064980536285,1445.576892122391,1447.927938357128,1446.5938085818966,1453.502701280527,1471.1104689462209,1489.348172929421,1501.7866601195922,1505.767148472374,1512.2938642774395,1510.386832441484,1506.7096063281858,1508.1682375190612,1522.3205578499262,1524.511706086515,1525.270736854735,1545.5526932883831,1556.6006060988154,1577.560225595618,1573.8147891653257,1570.4671533679643,1552.935688150401,1553.1072528344507,1560.297147050988,1572.7629426483218,1575.2215045408282,1596.4221666801684,1626.5287617118283,1641.4305444410536,1636.2170823019285,1638.688572670547,1638.467607173462,1643.1185655993609,1646.793134035279,1635.2622768604183,1664.8581058752843,1660.3840316918029,1684.8403002594005,1699.30117198229,1707.938076365612,1792.6055747671776,1802.803120598036,1837.9256796459931,1790.359622577127,1841.4167620196235,1857.419983073263,1900.6132730115717,1877.4352846443287,1904.828176072488,1897.5400873286048,1912.3605457622532,1857.952380952381
24,84620,28,60618,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,1304.1255525536726,1321.011719228433,1323.0868682448297,1354.2134740919453,1358.912987500225,1361.6917351144132,1360.8872382708134,1353.849376598139,1361.8229558073224,1378.952069278969,1388.9689383471402,1392.4965854911818,1393.4471534689096,1399.210427586495,1401.261152100598,1401.2838606197845,1402.170242621513,1400.8888288930552,1397.93915753767,1394.635008594084,1402.7879893048523,1409.0679372886077,1422.668398825049,1417.077257703784,1429.8817119969488,1432.0753592273009,1443.7011521263262,1437.877384535394,1435.864543406104,1432.265969314857,1424.0942302404512,1417.52433274879,1420.903851067855,1431.938296722925,1448.18086454505,1451.2905170246129,1464.3806806083192,1469.7484256594507,1477.846630657566,1473.8498439580171,1472.9719590770585,1472.698823098996,1464.5479487949235,1460.557641613239,1459.6923975704228,1465.9652766151314,1469.888607681686,1479.3179332182792,1495.999363300307,1509.038845504272,1510.2288488095007,1510.0346446765734,1512.4758986856243,1508.4978029680135,1502.8238960389488,1494.9493618633212,1511.231380812827,1520.8107864877038,1529.1965951654984,1523.3560137337467,1536.5807172560808,1532.8366696524863,1527.7586510490275,1512.3789698754697,1512.996846694327,1512.9431839555648,1500.751526310371,1497.1682436969138,1494.7395606729308,1498.6181867231296,1501.8729667866382,1511.4870523453974,1528.1678178742943,1533.3247479173558,1532.6414581800018,1531.6827115811595,1531.9357588597445,1532.9520868756272,1540.0476316484271,1559.3608891993488,1579.665801400358,1593.4969208749928,1612.3829825667822,1618.9666495273918,1627.2546202203932,1622.6639129778448,1637.4286184090693,1636.3627137190424,1650.17514448134,1657.487091099756,1683.8733510055831,1708.7298263209568,1709.2218424850005
25,97771,29,94565,zip,CA,CA,Pittsburg,"San Francisco-Oakland-Berkeley, CA",Contra Costa County,1590.0098952047365,1606.321254126986,1590.0216069285673,1626.3422698341394,1647.7285128258568,1698.9116550615713,1686.445152685213,1701.590767516101,1681.4292419429826,1681.5148313405532,1696.436201475393,1728.9036253969005,1749.0490463947458,1774.1749206758489,1785.7638164743962,1815.2594362795687,1816.3419962873045,1836.2061993222133,1836.86317605494,1856.716250382862,1853.7179964855093,1897.4121405640933,1915.7125296575512,1922.7224501990963,1906.6883473820455,1888.667718936993,1886.6277598382544,1904.76321815407,1955.70265065332,1994.8387522325645,2026.8934151199644,2013.4700553730088,2007.7198270959884,1984.4910977427332,2018.6840046402583,2031.7201876343072,2058.5002164871867,2061.935093457719,2049.07428762557,2030.8891023572403,2048.939082633086,2051.68036477271,2091.988435127561,2089.1264762265746,2133.091193440292,2144.193265085294,2180.020403344565,2200.566241239875,2205.963137971779,2210.4980253351027,2200.541852038099,2216.2353212713174,2246.0309572112,2236.33797324804,2232.565948886878,2204.066308350483,2199.0736396996926,2205.0384517146226,2255.054695333561,2290.388169243285,2320.580877275345,2319.679669187277,2320.852657650518,2301.705209645333,2283.293522539814,2322.7514532921277,2362.412671773634,2385.486474606456,2352.541315046801,2308.7550113340767,2326.966311050385,2370.4931538527653,2430.6401485879937,2449.845783490692,2451.0716602451544,2479.8335859580698,2543.048317010935,2581.5803651002616,2609.7071838791003,2577.493476580045,2574.300225291975,2568.4620604376555,2607.356842849936,2597.891214994052,2636.855764976779,2631.443214087908,2749.823625479149,2732.558089967524,2745.8776516836315,2691.0082728445027,2726.055471389936,2740.121925276093,2768.53399122807
27,62031,31,11220,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,1644.9500579293012,1716.3320020974663,1726.715950616015,1790.352000944574,1792.2359970318994,1810.6024394831268,1776.6009336491593,1846.2621641772887,1800.4415820606446,1742.2560625083106,1665.1761983560723,1702.96024884096,1752.8182044014134,1802.5109863907076,1807.659587698411,1828.1103825365335,1840.7969290278904,1860.0272014157576,1821.2861206426612,1857.109629180669,1816.2356053060787,1785.668664330959,1775.654887392151,1817.2847517856544,1876.2527975767784,1862.36970561914,1879.60141462822,1873.703151739429,1952.218808192865,1952.3543410383145,1947.4389430407211,2017.9741898121945,1968.9308424199644,1960.7178978321583,1877.3991357924583,1951.403312081737,1979.249195511192,1999.332309241456,2001.8117188709905,2002.8072267283087,2009.451671334644,2004.180704596035,1961.6644377200896,2017.3429711038527,1979.9104339122855,1966.5895850738727,1888.0703254581167,1937.6250852883456,1968.0959069449511,2028.6670752473008,2034.0287748558096,2053.2223396916875,2045.1117311447483,2040.3275422912072,2028.674310680543,2052.7548629367843,1974.9278213267337,1960.8192294378,1940.0035151614927,2014.5700463805117,2048.765058832348,2094.268337760757,2077.1965899869133,2069.6466289328228,2050.070182241587,2066.430458460088,2018.81773341307,2015.407689271728,2023.067385384744,2048.227931374485,2018.6775432744787,2010.768675865958,1980.0142071841728,1995.707722003253,1975.6303618081088,2005.0278307206625,1985.6588592097924,2010.0032741114003,2016.3946186556648,2043.4932790349076,2037.0612566216344,2059.1642533513905,2103.2188502181984,2177.7334448212287,2205.388973180229,2204.5907877286672,2200.819872053786,2141.281283261596,2180.3840566191134,2209.7275578239887,2293.5997484239497,2337.23986177212,2312.655555555556
30,90654,34,75052,zip,TX,TX,Grand Prairie,"Dallas-Fort Worth-Arlington, TX",Dallas County,1128.9537444605726,1123.7211588841524,1116.172300439186,1122.2373184241155,1129.9937204097853,1131.5892366075702,1135.6812218883938,1133.536038439868,1148.4469405506431,1154.0559235712028,1170.0955420072478,1168.824737936935,1184.0243397634442,1189.4702234164422,1192.4609441151376,1188.4834368331449,1197.0372808067484,1205.4718895302883,1209.4803861597657,1205.4027486898538,1206.1729057769958,1211.460734476483,1227.145921058698,1226.5654169950355,1240.3176761337968,1236.241928624083,1241.021052275826,1239.8001250093553,1244.2076884402836,1252.205777329896,1256.8250857660369,1266.186150745472,1272.839743610145,1278.3237210117625,1288.369262213978,1288.7668422436436,1292.7214683576008,1283.1872556421415,1283.3526667994804,1289.6623922554072,1301.044199366818,1316.4295881026278,1331.4218282398715,1331.8620872886547,1330.5459973913469,1318.5795949192682,1335.3444236555029,1343.5326323024572,1351.7141642168435,1336.2305795699708,1326.223837631348,1331.1473779085177,1345.7523270347665,1350.1324668101956,1350.434516341781,1354.2633482468332,1360.86103563326,1369.2633467519197,1373.672997292148,1382.5843222789692,1379.103017198196,1371.3016252810596,1357.6346738283178,1350.2662695268718,1362.7515706636127,1379.8283079508642,1399.3138593861045,1400.144064365185,1405.9679793792602,1406.5134661066663,1429.0486037612436,1444.5749713428852,1462.9449549235042,1471.48229921597,1497.3446276274633,1525.4649667818385,1563.6711391534757,1590.8617195907052,1621.124170264659,1634.5397928555049,1660.1461287351894,1673.6232799523366,1707.3715933592428,1717.7108796081748,1730.054855323977,1731.0877526949796,1735.874069561091,1735.4059315294687,1748.2999765306206,1765.438528681922,1787.8317044988692,1782.9755098461228,1773.10560455192
31,62018,35,11207,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,1997.0769344770065,1960.312978843784,1979.9897354896189,1963.1170695833396,2021.4344349742764,2009.5859229503212,2039.1930582528853,2011.6800918048648,2009.8072677302357,2017.884133496205,2044.9508548974816,2095.321531973443,2182.351047135277,2213.389336404617,2209.4400249307137,2160.4477581670712,2161.6951574789728,2147.450464421237,2135.2687038662225,2095.044624032643,2108.769553381651,2157.120749090767,2202.88263645403,2230.211550656484,2252.577136768806,2278.172611343403,2231.5829479793083,2169.9797007623047,2149.54545018679,2175.7190135199758,2205.396930946794,2185.031802780029,2172.638418807933,2177.9212565989774,2206.1831379340942,2241.1168825771465,2270.914104422189,2279.2889703771493,2264.827132316228,2258.784688200241,2261.965142954024,2260.9237192841724,2252.372155728541,2236.0076541692824,2263.183224839424,2257.6633458474203,2303.367122433273,2323.6886179483718,2396.936178935276,2376.7113785672946,2372.0671030620224,2342.5332290782944,2377.4221644403437,2367.691662864508,2367.653688987894,2336.490222096246,2322.57655047262,2370.4640361642632,2409.521482190142,2490.193365154936,2491.904054030523,2504.8339392963944,2472.4041182724445,2437.5636646980965,2422.3776967473163,2359.723825519237,2321.0573653550937,2264.8182857233583,2249.350225374537,2241.2718839864224,2263.94995410094,2266.782835124742,2270.833554411777,2218.49749166604,2241.414287623385,2284.191565152828,2361.6409598282467,2393.658920631936,2404.373228413806,2449.298300172707,2467.701236676977,2545.5704985590987,2545.9428854637663,2561.6066621345035,2543.2696489171294,2593.6365879970444,2725.3415732017183,2845.694771370148,2942.0145831824952,2956.4590052568874,2984.0486894458577,2999.112474650708,2994.7909544159543
